Field_ID,Museum_ID,species,location,latitude,longitude,Elevation,Sex,Date,Time,Tb,Ts,Ta_t,Ta_k,HR,perch,weather,shade,note,CTmin,CTmax,Country,Collectors
11,MMM00968,christophei,Los Paticos,19.018049,-70.584361,958,male,10-Sep-25,,26.7,,20.6,29.3,66.7,trunk,sun,shade,by the river,9.1,34.3,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
10,MMM00969,christophei,Los Paticos,19.018049,-70.584361,958,female,10-Sep-25,,26.3,,,29.3,66.7,trunk,sun,shade,by the river,9.5,34.3,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
7,MMM00970,christophei,Los Paticos,19.018049,-70.584361,958,male,10-Sep-25,,26.8,,,29.3,66.7,trunk,sun,shade,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
2,MMM00971,christophei,Los Paticos,19.018049,-70.584361,958,female,10-Sep-25,,26.6,,,29.3,66.7,trunk,sun,shade,by the river,12.9,33.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr4,MMM00972,christophei,Los Paticos,19.018049,-70.584361,958,male,10-Sep-25,13:25,28,23,22.5,29.3,66.7,trunk,sun,shade,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
4,MMM00973,christophei,Los Paticos,19.018049,-70.584361,958,female,10-Sep-25,,26.1,,,29.3,66.7,trunk,sun,shade,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
17,MMM00974,christophei,Los Paticos,19.018049,-70.584361,958,male,11-Sep-25,,,,,,,leaf,night,NA,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
15,MMM00975,christophei,Los Paticos,19.018049,-70.584361,958,female,11-Sep-25,,,,,,,,night,NA,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
20,MMM00976,christophei,Los Paticos,19.018049,-70.584361,958,female,11-Sep-25,,,,,,,,night,NA,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
19,MMM00977,aliniger,Los Paticos,19.018049,-70.584361,958,male,11-Sep-25,,,,,,,leaf,night,NA,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
18,MMM00978,aliniger,Los Paticos,19.018049,-70.584361,958,female,11-Sep-25,,,,,,,leaf,night,NA,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
21,MMM00979,christophei,Los Paticos,19.018049,-70.584361,958,female,11-Sep-25,,,,,,,,night,NA,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
16,MMM00980,christophei,Los Paticos,19.018049,-70.584361,958,female,11-Sep-25,,,,,,,,night,NA,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
14,MMM00981,christophei,Los Paticos,19.018049,-70.584361,958,female,11-Sep-25,,,,,,,,night,NA,by the river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
1,MMM00982,etheridgei,Los Paticos,19.018049,-70.584361,958,male,11-Sep-25,,,,,,,leaf,night,NA,by the river,7.4,29.2,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
1,MMM00983,christophei,Tireo,18.942891,-70.714987,1388,female,12-Sep-25,,23.3,20,,24.1,80.3,trunk,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
9,MMM00984,christophei,Tireo,18.942891,-70.714987,1388,male,12-Sep-25,,,,,24.1,80.3,crevice,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr5,MMM00985,christophei,Tireo,18.942891,-70.714987,1388,female,13-Sep-25,11:14,23.3,20.8,,23.7,86.8,bamboo,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr2,MMM00986,christophei,Tireo,18.942891,-70.714987,1388,male,13-Sep-25,10:09,25.5,21.4,,23.7,86.8,bamboo,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr3,MMM00987,christophei,Tireo,18.942891,-70.714987,1388,female,13-Sep-25,10:18,22.5,20.1,,23.7,86.8,crevice,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr4,MMM00988,christophei,Tireo,18.942891,-70.714987,1388,female,13-Sep-25,10:46,20.5,19.6,,23.7,86.8,trunk,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr1,MMM00989,christophei,Tireo,18.942891,-70.714987,1388,female,13-Sep-25,10,23.4,20,,23.7,86.8,vine,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
5,MMM00990,christophei,Tireo,18.942891,-70.714987,1388,female,12-Sep-25,,22.1,20,,24.1,80.3,trunk,sun,shade,by stream,9.3,33.4,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
7,MMM00991,christophei,Tireo,18.942891,-70.714987,1388,male,12-Sep-25,,,,,24.1,80.3,,sun,shade,by stream,8.8,34.6,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
6,MMM00992,christophei,Tireo,18.942891,-70.714987,1388,female,12-Sep-25,,22.7,20.1,,24.1,80.3,trunk,sun,shade,by stream,8.9,34.2,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
10,MMM00993,christophei,Tireo,18.942891,-70.714987,1388,female,12-Sep-25,,,,,24.1,80.3,,sun,shade,by stream,8.8,34.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
8,MMM00994,christophei,Tireo,18.942891,-70.714987,1388,male,12-Sep-25,,,,,24.1,80.3,,sun,shade,by stream,9.4,34.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
2,MMM00995,christophei,Tireo,18.942891,-70.714987,1388,female,12-Sep-25,,21.7,18.8,,24.1,80.3,trunk,sun,shade,by stream,9.6,33.2,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
3,MMM00996,christophei,Tireo,18.942891,-70.714987,1388,male,12-Sep-25,,22.7,20.1,,24.1,80.3,trunk,sun,shade,by stream,9,34.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
4,MMM00997,christophei,Tireo,18.942891,-70.714987,1388,male,12-Sep-25,,23.2,20.4,,24.1,80.3,trunk,sun,shade,by stream,7.7,34.8,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
12,MMM00998,etheridgei,Tireo,18.942891,-70.714987,1388,male,12-Sep-25,,,,,23.1,85.4,,sun,shade,by stream,7.3,33.2,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
14,MMM00999,etheridgei,Tireo,18.942891,-70.714987,1388,male,12-Sep-25,,,,,23.1,85.4,,sun,shade,by stream,10.1,33.3,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
15,MMM01000,etheridgei,Tireo,18.942891,-70.714987,1388,female,12-Sep-25,,21.4,19.3,,23.1,85.4,,sun,shade,by stream,6.5,32.3,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
13,MMM01001,etheridgei,Tireo,18.942891,-70.714987,1388,male,12-Sep-25,,,,,23.1,85.4,,sun,shade,by stream,7.5,31.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
11,MMM01002,etheridgei,Tireo,18.942891,-70.714987,1388,female,12-Sep-25,,,,,23.1,85.4,,sun,shade,by stream,7.2,30.5,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
eth6,MMM01003,etheridgei,Tireo,18.942891,-70.714987,1388,male,13-Sep-25,12:15,24.6,22.6,,25.5,78.1,branch,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
eth1,MMM01004,etheridgei,Tireo,18.942891,-70.714987,1388,male,13-Sep-25,09:51,20.1,19.6,,23.7,86.8,branch,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
eth3,MMM01005,etheridgei,Tireo,18.942891,-70.714987,1388,male,13-Sep-25,11:28,23.1,21,,23.7,86.8,trunk,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
eth2,MMM01006,etheridgei,Tireo,18.942891,-70.714987,1388,male,13-Sep-25,10:34,22.1,20.1,,23.7,86.8,branch,sun,shade,by stream,6.5,30.2,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
eth5,MMM01007,etheridgei,Tireo,18.942891,-70.714987,1388,female,13-Sep-25,12:15,24.5,22.9,,25.5,78.1,vine,sun,shade,by stream,6.2,32.3,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
eth4,MMM01008,etheridgei,Tireo,18.942891,-70.714987,1388,female,13-Sep-25,12:02,24.5,21,,25.5,78.1,leaves,sun,shade,by stream,6.4,31.9,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr1,MMM01009,christophei,Tireo Arriba,18.967927,-70.656546,1199,male,14-Sep-25,,18.2,18.4,,23.1,84.5,trunk,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr6,MMM01010,christophei,Tireo Arriba,18.967927,-70.656546,1199,female,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
4,MMM01011,christophei,Sabana del Puerto,19.026,-70.48131,739,male,16-Sep-25,,,,,26.3,94.2,,partial,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
1,MMM01012,cybotes,Sabana del Puerto,19.02518,-70.46364,442,male,17-Sep-25,09:29,26.4,25.1,25,27.9,76.7,fern,sun,shade,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
2,MMM01013,cybotes,Sabana del Puerto,19.02819,-70.4686,511,male,17-Sep-25,10:44,,25.8,25.7,,,branch,sun,shade,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
3,MMM01014,cybotes,Sabana del Puerto,19.02727,-70.46516,499,female,17-Sep-25,12:26,32.5,26.8,26,31.9,78.5,branch,sun,sun,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
4,MMM01015,cybotes,Sabana del Puerto,19.02727,-70.46516,499,male,17-Sep-25,12:30,28.7,26.1,26.4,31.9,78.5,branch,partial,shade,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
5,MMM01016,cybotes,Sabana del Puerto,19.02727,-70.46516,499,female,17-Sep-25,,,,,,,,partial,,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
9,MMM01017,cybotes,Sabana del Puerto,19.02358,-70.4576,358,female,17-Sep-25,13:34,31.3,28.6,28.6,32,66.4,branch,partial,shade,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
7,MMM01018,cybotes,Sabana del Puerto,19.02518,-70.46364,442,male,17-Sep-25,,,,,,,,partial,,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
8,MMM01019,cybotes,Sabana del Puerto,19.02358,-70.4576,358,female,17-Sep-25,13:33,29.1,25.1,26.7,32,66.4,branch,partial,shade,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
6,MMM01020,cybotes,Sabana del Puerto,19.02518,-70.46364,442,male,17-Sep-25,12:46,30.5,26.5,25.3,31.9,78.5,branch,partial,shade,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
10,MMM01021,cybotes,Sabana del Puerto,19.02358,-70.4576,358,male,17-Sep-25,,,,,,,,partial,,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
11,MMM01022,cybotes,Sabana del Puerto,19.02358,-70.4576,358,male,17-Sep-25,13:47,28.2,30.2,30.3,32,66.4,branch,partial,shade,,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
1,MMM01023,christophei,Tireo Arriba,18.98537,-70.62515,1143,female,15-Sep-25,,24.6,19.8,23.4,26.8,56.3,root,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
2,MMM01024,christophei,Tireo Arriba,18.98537,-70.62515,1143,female,15-Sep-25,,25.4,24.3,25.6,25.8,64.6,branch,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr8,MMM01025,christophei,Tireo Arriba,18.967927,-70.656546,1199,male,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,8.9,33.5,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr14,MMM01026,christophei,Tireo Arriba,18.967927,-70.656546,1199,female,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr17,MMM01027,christophei,Tireo Arriba,18.967927,-70.656546,1199,female,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr3,MMM01028,christophei,Tireo Arriba,18.967927,-70.656546,1199,male,14-Sep-25,,20.5,19.3,,23.1,84.5,trunk,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr7,MMM01029,christophei,Tireo Arriba,18.967927,-70.656546,1199,female,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr15,MMM01030,christophei,Tireo Arriba,18.967927,-70.656546,1199,male,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr19,MMM01031,christophei,Tireo Arriba,18.967927,-70.656546,1199,female,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr16,MMM01032,christophei,Tireo Arriba,18.967927,-70.656546,1199,female,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr9,MMM01033,christophei,Tireo Arriba,18.967927,-70.656546,1199,female,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr11,MMM01034,christophei,Tireo Arriba,18.967927,-70.656546,1199,male,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr20,MMM01035,christophei,Tireo Arriba,18.967927,-70.656546,1199,female,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
5,MMM01036,christophei,Sabana del Puerto,19.026,-70.48131,739,male,16-Sep-25,14:51,25.5,24.7,24.3,26.3,94.2,trunk,partial,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
10,MMM01037,christophei,Sabana del Puerto,19.026,-70.48131,739,male,17-Sep-25,11:12,26.4,23.3,23.8,24.4,88.9,rock,partial,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr10,MMM01038,christophei,Tireo Arriba,18.967927,-70.656546,1199,male,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,7.1,34.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr5,MMM01039,christophei,Tireo Arriba,18.967927,-70.656546,1199,male,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,8.7,34,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr4,MMM01040,christophei,Tireo Arriba,18.967927,-70.656546,1199,male,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,9.5,34.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr13,MMM01041,christophei,Tireo Arriba,18.967927,-70.656546,1199,female,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,9.6,32.5,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
8,MMM01042,christophei,Sabana del Puerto,19.026,-70.48131,739,female,16-Sep-25,,,,,,,,partial,shade,by stream,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr2,MMM01043,christophei,Tireo Arriba,18.967927,-70.656546,1199,female,14-Sep-25,,19.2,18.5,,23.1,84.5,trunk,sun,shade,by stream,8.8,32.4,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr12,MMM01044,christophei,Tireo Arriba,18.967927,-70.656546,1199,female,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,9,32.3,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
chr18,MMM01045,christophei,Tireo Arriba,18.967927,-70.656546,1199,male,14-Sep-25,,,,,23.1,84.5,,sun,shade,by stream,8.7,33.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
2,MMM01046,christophei,Sabana del Puerto,19.026,-70.48131,739,male,16-Sep-25,,25.2,24.3,24.4,26.3,94.2,rock,partial,shade,by stream,9.3,35.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
6,MMM01047,christophei,Sabana del Puerto,19.026,-70.48131,739,female,16-Sep-25,15:00,25.8,24.3,24.7,26.3,94.2,root,partial,shade,by stream,8.4,35,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
3,MMM01048,christophei,Sabana del Puerto,19.026,-70.48131,739,male,16-Sep-25,,23.5,23.2,24.1,26.3,94.2,rock,partial,shade,by stream,7.6,35.2,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
9,MMM01049,christophei,Sabana del Puerto,19.026,-70.48131,739,female,16-Sep-25,,,,,,,,partial,shade,by stream,8.9,35.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
13,MMM01050,christophei,Sabana del Puerto,19.026,-70.48131,739,female,17-Sep-25,12:07,25.3,23.2,24.3,24.4,88.9,rock,partial,shade,by stream,9.6,35.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
7,MMM01051,christophei,Sabana del Puerto,19.026,-70.48131,739,male,16-Sep-25,,,,,,,,partial,shade,by stream,8.4,35.8,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
11,MMM01052,christophei,Sabana del Puerto,19.026,-70.48131,739,male,17-Sep-25,11:44,23.4,22.6,23.3,24.4,88.9,rock,partial,shade,by stream,8.7,36,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
12,MMM01053,christophei,Sabana del Puerto,19.026,-70.48131,739,female,17-Sep-25,11:46,24.3,23.5,23.5,24.4,88.9,rock,partial,shade,by stream,8.5,33.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
1,MMM01054,etheridgei,ƒbano Verde,19.02762,-70.5124,1288,female,16-Sep-25,11:39,20.5,20.4,21.6,21.3,88.9,rock,partial,shade,,6.2,31.3,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
eth2,MMM01055,etheridgei,El R’o,18.99908,-70.63018,1198,male,15-Sep-25,14:16,23,21.6,21.9,27.1,66.9,branch,sun,shade,close from its cave,6.1,32.2,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
eth1,MMM01056,etheridgei,El R’o,18.99908,-70.63018,1198,male,15-Sep-25,14:06,24.5,21.7,23.2,27.1,66.9,trunk,sun,shade,,7.2,32.3,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez"
8,MMM01057,etheridgei,Los Paticos,19.018049,-70.584361,958,female,20-Sep-25,,,,,,,,night/rain,NA,by river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
13,MMM01058,etheridgei,Los Paticos,19.018049,-70.584361,958,female,20-Sep-25,,,,,,,,night/rain,NA,by river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
16,MMM01059,etheridgei,Los Paticos,19.018049,-70.584361,958,female,20-Sep-25,,,,,,,,night/rain,NA,by river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
3,MMM01060,etheridgei,Los Paticos,19.018049,-70.584361,958,female,20-Sep-25,,,,,,,,night/rain,NA,by river,6.3,32.9,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
10,MMM01061,etheridgei,Los Paticos,19.018049,-70.584361,958,female,20-Sep-25,,,,,,,,night/rain,NA,by river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
5,MMM01062,etheridgei,Los Paticos,19.018049,-70.584361,958,male,20-Sep-25,,,,,,,,night/rain,NA,by river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
14,MMM01063,etheridgei,Los Paticos,19.018049,-70.584361,958,female,20-Sep-25,,,,,,,,night/rain,NA,by river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
11,MMM01064,etheridgei,Los Paticos,19.018049,-70.584361,958,female,20-Sep-25,,,,,,,,night/rain,NA,by river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
6,MMM01065,etheridgei,Los Paticos,19.018049,-70.584361,958,male,20-Sep-25,,,,,,,,night/rain,NA,by river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
1,MMM01066,christophei,Hatillo,18.97225,-70.23482,151,male,20-Sep-25,12:31,29.9,28.2,28.6,31.2,71.5,branch,partial,shade,juvenile,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
2,MMM01067,etheridgei,Los Paticos,19.018049,-70.584361,958,male,20-Sep-25,,,,,,,,night/rain,NA,by river,NA,NA,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
7,MMM01068,etheridgei,Los Paticos,19.018049,-70.584361,958,female,20-Sep-25,,,,,,,,night/rain,NA,by river,6.3,30.9,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
12,MMM01069,etheridgei,Los Paticos,19.018049,-70.584361,958,female,20-Sep-25,,,,,,,,night/rain,NA,by river,6.7,30.9,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
17,MMM01070,etheridgei,Los Paticos,19.018049,-70.584361,958,female,20-Sep-25,,,,,,,,night/rain,NA,by river,6.6,31.8,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
15,MMM01071,etheridgei,Los Paticos,19.018049,-70.584361,958,male,20-Sep-25,,,,,,,,night/rain,NA,by river,7.1,33,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
4,MMM01072,etheridgei,Los Paticos,19.018049,-70.584361,958,male,20-Sep-25,,,,,,,,night/rain,NA,by river,5.8,32.1,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
9,MMM01073,etheridgei,Los Paticos,19.018049,-70.584361,958,female,20-Sep-25,,,,,,,,night/rain,NA,by river,6.2,31.3,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
2,MMM01074,christophei,Jarabacoa,19.07974,-70.70612,669,male,21-Sep-25,,,,,,,,night,NA,by river,9,35.4,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
4,MMM01075,christophei,Jarabacoa,19.07974,-70.70612,669,male,21-Sep-25,,,,,,,,night,NA,by river,9,34.7,Dominican Republic,"Raœl Araya Donoso, Francis Rodr’guez, Luiyi Rodr’guez"
